,time,s_user,s_domain,scom,dcom
643,1243526,U1506,DOM1,C17693,C423
644,1243550,U1506,DOM1,C17693,C3610
645,1243561,U1506,DOM1,C17693,C92
646,1243623,U7594,DOM1,C17693,C16563
647,1244616,U114,DOM1,C17693,C3610
648,1244667,U114,DOM1,C17693,C2388
649,1244695,U114,DOM1,C17693,C1710
650,1245222,U1106,DOM1,C17693,C4554
651,1245398,U1106,DOM1,C17693,C21919
652,1245678,U3575,DOM1,C17693,C5030
653,1246243,U3206,DOM1,C17693,C8585
654,1246511,U8777,DOM1,C17693,C1710
655,1246653,U114,DOM1,C17693,C1710
656,1251013,U3549,DOM1,C17693,C1887
657,1251033,U3549,DOM1,C17693,C1887
658,1251067,U3549,DOM1,C17693,C586
659,1251573,U3549,DOM1,C17693,C457
660,1253697,U3549,DOM1,C17693,C457
661,1254446,U227,DOM1,C17693,C177
662,1255347,U3549,DOM1,C17693,C457
663,1328198,U737,DOM1,C19932,C467
664,1328340,U86,DOM1,C17693,C395
665,1328400,U86,DOM1,C17693,C395
666,1328481,U86,DOM1,C17693,C395
667,1351641,U8168,C685,C17693,C685
668,1351661,U8168,C685,C17693,C685
669,1351845,U8168,C685,C17693,C685
670,1352110,U679,DOM1,C17693,C1980
671,1353700,U8777,C3388,C17693,C3388
672,1353706,U8777,C3388,C17693,C3388
673,1353975,U8777,C3388,C17693,C3388
674,1355036,U8777,C3388,C17693,C3388
675,1355106,U8777,C1500,C17693,C1500
676,1355621,U24,DOM1,C17693,C3435
677,1356094,U679,DOM1,C17693,C1980
678,1358383,U7311,DOM1,C17693,C977
679,1358404,U7311,DOM1,C17693,C977
680,1359668,U7507,DOM1,C17693,C486
681,1359680,U7507,DOM1,C17693,C1015
682,1359792,U415,DOM1,C17693,C486
683,1361496,U8170,DOM1,C17693,C1269
684,1361921,U524,DOM1,C17693,C15
685,1362045,U524,DOM1,C17693,C15
686,1362624,U8840,DOM1,C17693,C370
687,1363252,U1306,DOM1,C17693,C791
688,1363492,U415,DOM1,C17693,C486
689,1758226,U737,DOM1,C19932,C467
690,1847858,U66,DOM1,C17693,C2725
691,1847888,U66,DOM1,C17693,C2725
692,1847922,U66,DOM1,C17693,C2725
693,1852419,U3764,DOM1,C17693,C9723
694,1931895,U737,DOM1,C19932,C612
695,2296175,U212,DOM1,C17693,C126
696,2296329,U293,DOM1,C17693,C3422
697,2296449,U8601,DOM1,C17693,C10817
698,2297658,U5087,DOM1,C17693,C1448
699,2297696,U4978,DOM1,C17693,C1448
700,2300154,U1467,C3597,C17693,C3597
701,2301630,U3005,DOM1,C17693,C3629
702,2301831,U342,DOM1,C17693,C2519
703,2303049,U3005,DOM1,C17693,C2012
704,2303227,U3005,DOM1,C17693,C1936
705,2303390,U3005,DOM1,C17693,C3380
706,2303505,U3406,DOM1,C17693,C8209
707,2303559,U3005,DOM1,C17693,C8209
708,2303788,U10379,C3521,C17693,C3521
709,2303870,U995,DOM1,C17693,C1014
710,2304805,U1600,DOM1,C17693,C16088
711,2304891,U66,DOM1,C17693,C3288
712,2304904,U5087,DOM1,C17693,C21963
713,2304959,U5087,DOM1,C17693,C1268
714,2305081,U795,DOM1,C17693,C10005
715,2305203,U12,DOM1,C17693,C368
716,2305324,U12,DOM1,C17693,C366
717,2305554,U4448,DOM1,C17693,C1555
718,2305762,U1048,DOM1,C17693,C12320
719,2306980,U6572,DOM1,C17693,C90
720,2307167,U737,DOM1,C17693,C2578
721,2364275,U4978,DOM1,C17693,C1448
722,2365209,U8777,C583,C17693,C583
723,2367407,U66,DOM1,C17693,C3699
724,2370126,U66,DOM1,C17693,C5653
725,2370254,U374,DOM1,C17693,C1461
726,2372194,U66,DOM1,C17693,C626
727,2372551,U66,DOM1,C17693,C626
728,2373636,U1145,DOM1,C17693,C2877
729,2383984,U737,DOM1,C19932,C529
730,2461523,U3718,DOM1,C17693,C9692
731,2461523,U3718,DOM1,C17693,C9692
732,2468190,U737,DOM1,C19932,C457
733,2536079,U737,DOM1,C19932,C625
734,2550137,U737,DOM1,C19932,C108
735,2550446,U737,DOM1,C19932,C108
736,2551401,U737,DOM1,C19932,C108
737,2551501,U737,DOM1,C19932,C108
738,2551583,U737,DOM1,C19932,C108
739,2552687,U9263,DOM1,C17693,C828
740,2552687,U9263,DOM1,C17693,C828
741,2552687,U9263,DOM1,C17693,C828
742,2552687,U9263,DOM1,C17693,C828
743,2552687,U655,DOM1,C17693,C828
744,2552687,U655,DOM1,C17693,C828
745,2552687,U655,DOM1,C17693,C828
746,2552687,U655,DOM1,C17693,C828
747,2552687,U655,DOM1,C17693,C828
748,2557047,U737,DOM1,C19932,C108
