,time,s_user,s_domain,d_user,d_domain,scom,dcom,a_t,logon_type,a_ot,s/f
0,2563444,U6898,DOM1,U6898,DOM1,C15345,C5618,Kerberos,Network,LogOn,"Success
"
0,4965482,C4704,DOM1,C4704$,DOM1,C4704,C612,Kerberos,Network,LogOn,"Success
"
0,1245952,U66,DOM1,U66,DOM1,C2588,C2588,Kerberos,Network,LogOn,"Success
"
0,4914268,C3072,DOM1,C3072$,DOM1,C3072,C3072,Kerberos,Network,LogOn,"Success
"
0,2560574,U3393,DOM1,U3393,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,4767943,NETWORK SERVICE,C7182,NETWORK SERVICE,C7182,C7182,C7182,Negotiate,Service,LogOn,"Success
"
0,2343869,U2436,DOM1,U2436,DOM1,C7011,C467,Kerberos,Network,LogOn,"Success
"
0,771383,U9397,DOM1,U9397,DOM1,C19825,C2106,Kerberos,Network,LogOn,"Success
"
0,3613091,U1396,DOM1,U1396,DOM1,C314,C1015,Kerberos,Network,LogOn,"Success
"
0,651151,U7803,DOM1,U7803,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,3753610,U1452,DOM1,U1452,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,4284751,C8799,DOM1,C8799$,DOM1,C561,C561,Kerberos,Network,LogOn,"Success
"
0,3841106,U66,DOM1,U66,DOM1,C1697,C1697,?,Network,LogOff,"Success
"
0,307150,U6109,DOM1,U6109,DOM1,C13983,C2106,Kerberos,Network,LogOn,"Success
"
0,105875,C804,DOM1,C804$,DOM1,C804,C1065,Kerberos,Network,LogOn,"Success
"
0,2286351,C9070,DOM1,C9070$,DOM1,C9070,C612,Kerberos,Network,LogOn,"Success
"
0,4362778,C2477,DOM1,C2477$,DOM1,C2106,C2106,?,Network,LogOff,"Success
"
0,1685218,C17789,DOM1,C17789$,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,3184173,C8941,DOM1,SYSTEM,C8941,C8941,C8941,Negotiate,Service,LogOn,"Success
"
0,3744610,C8151,DOM1,C8151$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,3143202,C3811,DOM1,C3811$,DOM1,C3812,C17094,?,?,TGS,"Success
"
0,1132922,C123,DOM1,C123$,DOM1,C101,C101,?,Network,LogOff,"Success
"
0,3280252,C920,DOM1,C920$,DOM1,C920,C467,Kerberos,Network,LogOn,"Success
"
0,132342,U7,DOM1,U7,DOM1,C921,C921,?,Network,LogOff,"Success
"
0,4872310,U5013,DOM1,U5013,DOM1,C12063,C1065,Kerberos,Network,LogOn,"Success
"
0,2843410,U1480,?,U1480,?,C12512,C12512,?,?,TGT,"Fail
"
0,3244239,U8563,DOM1,U8563,DOM1,C18296,C2327,?,?,TGS,"Success
"
0,2598626,C20218,DOM1,C20218$,DOM1,C20218,C528,NTLM,Network,LogOn,"Success
"
0,2868133,C11428,DOM1,C11428$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,827746,C9655,DOM1,C9655$,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,3634121,U2784,DOM1,U2784,DOM1,C7270,C3173,Kerberos,Network,LogOn,"Success
"
0,2586542,C9443,DOM1,C9443$,DOM1,C9443,C529,Kerberos,Network,LogOn,"Success
"
0,2647824,C10684,DOM1,C10684$,DOM1,C10684,C586,Kerberos,Network,LogOn,"Success
"
0,1327553,U6425,DOM1,U6425,DOM1,C14553,C612,NTLM,Network,LogOn,"Success
"
0,2466390,C16416,DOM1,C16416$,DOM1,C16416,C529,Kerberos,Network,LogOn,"Success
"
0,4654137,C17536,DOM1,C17536$,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,3240701,NETWORK SERVICE,C2540,NETWORK SERVICE,C2540,C2540,C2540,Negotiate,Service,LogOn,"Success
"
0,2386173,C8595,DOM1,C8595$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,3956966,C529,DOM1,C529$,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,38637,U4508,DOM1,U4508,DOM1,C11165,C2327,?,?,TGS,"Success
"
0,573049,ANONYMOUS LOGON,C586,ANONYMOUS LOGON,C586,C19930,C586,NTLM,Network,LogOn,"Success
"
0,2080936,U5537,DOM1,U5537,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,289384,C87,DOM1,C87$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,1879100,C8849,DOM1,C8849$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,277891,C5099,DOM1,C5099$,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,2758896,C13283,DOM1,C13283$,DOM1,C13283,C625,?,?,TGS,"Success
"
0,3350428,C567,DOM1,C567$,DOM1,C574,C1085,Kerberos,Network,LogOn,"Success
"
0,3074533,U4915,DOM1,U4915,DOM1,C3034,C3034,?,Network,LogOff,"Success
"
0,2121222,C19426,DOM1,C19426$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,931964,C9976,DOM1,C9976$,DOM1,C9976,C612,Kerberos,Network,LogOn,"Success
"
0,3887495,C3040,DOM1,C3040$,DOM1,C3040,C3040,?,?,TGS,"Success
"
0,3854344,C4028,DOM1,C4028$,DOM1,C4028,C4028,?,?,TGS,"Success
"
0,4194876,U5748,DOM1,U5748,DOM1,C3697,C612,Kerberos,Network,LogOn,"Success
"
0,3977682,C2383,DOM1,C2383$,DOM1,C2384,C2384,?,?,TGT,"Success
"
0,646992,C6194,DOM1,C6194$,DOM1,C6194,C1065,Kerberos,Network,LogOn,"Success
"
0,1660509,C14755,DOM1,C14755$,DOM1,C14755,C529,Kerberos,Network,LogOn,"Success
"
0,3596629,C9425,DOM1,C9425$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,732334,U583,DOM1,U583,DOM1,C3331,C3331,?,?,TGS,"Success
"
0,1970603,C14431,DOM1,C14431$,DOM1,C14431,C586,Kerberos,Network,LogOn,"Success
"
0,4379600,C5234,DOM1,C5234$,DOM1,C5234,TGT,?,?,TGS,"Success
"
0,4725130,U106,DOM1,U106,DOM1,C1019,C449,Kerberos,Network,LogOn,"Success
"
0,3516093,C10010,DOM1,C10010$,DOM1,C10010,C586,Kerberos,Network,LogOn,"Success
"
0,4084531,C4825,DOM1,C4825$,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,2455970,C5987,DOM1,C5987$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,2824083,U34,DOM1,U34,DOM1,C921,C921,Kerberos,Network,LogOn,"Success
"
0,2480776,C585,DOM1,C585$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,2587079,C567,DOM1,C567$,DOM1,C1085,C1085,?,Network,LogOff,"Success
"
0,1171564,U9202,DOM1,U9202,DOM1,C19472,C612,Kerberos,Network,LogOn,"Success
"
0,3178360,C16926,DOM1,C16926$,DOM1,C16926,C16926,Kerberos,Network,LogOn,"Success
"
0,4466858,U8884,DOM1,U8884,DOM1,C18793,C529,Kerberos,Network,LogOn,"Success
"
0,3371787,NETWORK SERVICE,C6657,NETWORK SERVICE,C6657,C6657,C6657,Negotiate,Service,LogOn,"Success
"
0,4024939,U1067,?,U1067,?,C9343,C9343,?,?,TGT,"Fail
"
0,2279099,U1730,DOM1,U1730,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,222236,C7231,DOM1,C7231$,DOM1,C7231,C2106,Kerberos,Network,LogOn,"Success
"
0,3395562,U974,DOM1,U974,DOM1,C3929,C1877,?,?,TGS,"Success
"
0,4910103,C23706,DOM1,C23706$,DOM1,C23706,C23706,?,Network,LogOff,"Success
"
0,479246,C9801,DOM1,C9801$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,1053564,C665,DOM1,C665$,DOM1,C665,C529,?,?,TGS,"Success
"
0,2902132,C61,DOM1,C61$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,129590,C5306,DOM1,C5306$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,2683369,C11323,DOM1,C11323$,DOM1,C11323,C1065,Kerberos,Network,LogOn,"Success
"
0,4765713,C12116,DOM1,C12116$,DOM1,C12116,C529,Kerberos,Network,LogOn,"Success
"
0,811295,C11108,DOM1,C11108$,DOM1,C11108,C467,Kerberos,Network,LogOn,"Success
"
0,1793967,C22972,DOM1,C22972$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,1753191,C20166,DOM1,C20166$,DOM1,C20166,C457,Kerberos,Network,LogOn,"Success
"
0,2364017,C457,DOM1,C457$,DOM1,C516,C457,Kerberos,Network,LogOn,"Success
"
0,3015509,U158,DOM1,U158,DOM1,C1691,C1691,?,Network,LogOff,"Success
"
0,1949520,C4426,DOM1,C4426$,DOM1,C4426,C529,Kerberos,Network,LogOn,"Success
"
0,4849668,NETWORK SERVICE,C8124,NETWORK SERVICE,C8124,C8124,C8124,Negotiate,Service,LogOn,"Success
"
0,4276577,U1946,DOM1,U1946,DOM1,C6071,C467,Kerberos,Network,LogOn,"Success
"
0,4182862,C123,DOM1,C123$,DOM1,C553,C553,?,Network,LogOff,"Success
"
0,4639923,C3070,DOM1,C3070$,DOM1,C3070,C3070,?,Network,LogOff,"Success
"
0,1799551,U197,DOM1,U197,DOM1,C1834,C2310,?,?,AuthMap,"Success
"
0,2563254,U2317,DOM1,U2317,DOM1,C6791,C1015,?,?,TGS,"Success
"
0,4480435,C15556,DOM1,C15556$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,3940449,NETWORK SERVICE,C6723,NETWORK SERVICE,C6723,C6723,C6723,Negotiate,Service,LogOn,"Success
"
0,542791,C2075,DOM1,C2075$,DOM1,C3066,C467,?,?,TGS,"Success
"
0,3504441,U3206,DOM1,U3206,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,3904323,C13855,DOM1,C13855$,DOM1,C2106,C2106,?,Network,LogOff,"Success
"
0,3027518,C1766,DOM1,C1766$,DOM1,C2106,C2106,?,Network,LogOff,"Success
"
0,1282204,C20179,DOM1,C20179$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,4883722,ANONYMOUS LOGON,C586,ANONYMOUS LOGON,C586,C910,C586,NTLM,Network,LogOn,"Success
"
0,406564,U1377,DOM1,U1377,DOM1,C2162,C2162,?,Network,LogOff,"Success
"
0,2636742,U66,DOM1,U66,DOM1,C2463,C2463,?,Network,LogOff,"Success
"
0,3678702,U54,DOM1,U54,DOM1,C229,C229,Kerberos,Network,LogOn,"Success
"
0,1364838,C480,DOM1,C480$,DOM1,C480,C528,Kerberos,Network,LogOn,"Success
"
0,833619,C567,DOM1,C567$,DOM1,C574,C988,Kerberos,Network,LogOn,"Success
"
0,1330045,C1319,DOM1,C1319$,DOM1,C1319,C1319,?,?,TGS,"Success
"
0,3636205,NETWORK SERVICE,C5957,NETWORK SERVICE,C5957,C5957,C5957,Negotiate,Service,LogOn,"Success
"
0,4945317,C14262,DOM1,C14262$,DOM1,C14262,C2106,Kerberos,Network,LogOn,"Success
"
0,1203695,LOCAL SERVICE,C10884,LOCAL SERVICE,C10884,C10884,C10884,Negotiate,Service,LogOn,"Success
"
0,1936022,C19229,DOM1,C19229$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,2690277,C19479,DOM1,C19479$,DOM1,C801,C801,?,Network,LogOff,"Success
"
0,3241542,U1314,DOM1,U1314,DOM1,C24042,C528,Kerberos,Network,LogOn,"Success
"
0,832485,C5365,DOM1,C5365$,DOM1,C5365,C2106,Kerberos,Network,LogOn,"Success
"
0,4922839,C24251,DOM1,C24251$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,987022,C1916,DOM1,C1916$,DOM1,C1917,C457,Kerberos,Network,LogOn,"Success
"
0,3831671,U9352,?,U9352,?,C529,C529,?,?,TGT,"Fail
"
0,4764015,U309,DOM1,U309,DOM1,C3388,C3388,?,Network,LogOff,"Success
"
0,2185094,U145,DOM1,U145,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,609536,C3284,DOM1,C3284$,DOM1,C3284,C625,Kerberos,Network,LogOn,"Success
"
0,2733555,U94,DOM1,U94,DOM1,C7,C7,NTLM,Network,LogOn,"Success
"
0,4906972,U1084,DOM1,U1084,DOM1,C67,C1015,Kerberos,Network,LogOn,"Success
"
0,2043312,C5633,DOM1,C5633$,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,1269332,U4130,DOM1,U4130,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,3907251,C4055,DOM1,C4055$,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,679712,U3630,DOM1,U3630,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,1627378,C22458,DOM1,C22458$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,488541,U2576,DOM1,U2576,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,3276343,C17122,DOM1,C17122$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,3985552,U3994,DOM1,U3994,DOM1,C3173,C3173,?,Network,LogOff,"Success
"
0,2222169,U9412,DOM1,U9412,DOM1,C19789,C625,Kerberos,Network,LogOn,"Success
"
0,107647,U1985,DOM1,U1985,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,931432,C380,DOM1,C380$,DOM1,C380,C1065,Kerberos,Network,LogOn,"Success
"
0,4223921,NETWORK SERVICE,C20906,NETWORK SERVICE,C20906,C20906,C20906,Negotiate,Service,LogOn,"Success
"
0,2820624,C4837,DOM1,C4837$,DOM1,C4837,C586,Kerberos,Network,LogOn,"Success
"
0,525617,U75,DOM1,U75,DOM1,C1710,C1710,?,?,TGT,"Success
"
0,635439,C4400,DOM1,C4400$,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,2443531,U256,DOM1,U256,DOM1,C10208,C492,Kerberos,Network,LogOn,"Success
"
0,3971344,U1067,?,U1067,?,C9343,C9343,?,?,TGT,"Fail
"
0,1398735,U1733,DOM1,U1733,DOM1,C5850,C2327,?,?,TGS,"Success
"
0,570020,C13767,DOM1,C13767$,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,3392128,C10982,DOM1,C10982$,DOM1,C10982,C586,Kerberos,Network,LogOn,"Success
"
0,236846,C1570,DOM1,C1570$,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,3492570,C567,DOM1,C567$,DOM1,C988,C988,?,Network,LogOff,"Success
"
0,3420321,U10107,DOM1,U10107,DOM1,C419,C419,Kerberos,Network,LogOn,"Success
"
0,2681836,ANONYMOUS LOGON,C586,ANONYMOUS LOGON,C586,C1067,C586,NTLM,Network,LogOn,"Success
"
0,1750692,C3271,DOM1,C3271$,DOM1,C3271,TGT,?,?,TGS,"Success
"
0,553896,ANONYMOUS LOGON,C6194,ANONYMOUS LOGON,C6194,C6194,C6194,?,Network,LogOff,"Success
"
0,2518071,U2622,DOM1,U2622,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,133244,U3523,DOM1,U3523,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,3644047,C1260,DOM1,C1260$,DOM1,C1260,C586,Kerberos,Network,LogOn,"Success
"
0,4389816,C1594,DOM1,C1594$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,3597994,C2920,DOM1,C2920$,DOM1,C2920,C612,Kerberos,Network,LogOn,"Success
"
0,4197022,U3528,DOM1,U3528,DOM1,C3173,C3173,?,Network,LogOff,"Success
"
0,2930958,U1165,DOM1,U1165,DOM1,C4698,C529,Kerberos,Network,LogOn,"Success
"
0,125433,C1726,DOM1,C1726$,DOM1,C2162,C2162,?,Network,LogOff,"Success
"
0,375305,C7826,DOM1,C7826$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,3679380,C20185,DOM1,C20185$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,4718161,C3055,DOM1,C3055$,DOM1,C3055,C3055,?,?,TGT,"Success
"
0,2883470,U3164,DOM1,U3164,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,4460644,U369,DOM1,U369,DOM1,C2757,C467,Kerberos,Network,LogOn,"Success
"
0,4198177,U3238,DOM1,U3238,DOM1,C8693,C3173,Kerberos,Network,LogOn,"Success
"
0,2630466,U3839,DOM1,U3839,DOM1,C14895,C467,Kerberos,Network,LogOn,"Success
"
0,4197716,C585,DOM1,C585$,DOM1,C585,C1065,Kerberos,Network,LogOn,"Success
"
0,3386937,C2319,DOM1,C2319$,DOM1,C2320,C2320,?,?,TGT,"Success
"
0,4863582,C8058,DOM1,C8058$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,748723,C3926,DOM1,C3926$,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,850763,C7390,DOM1,C7390$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,4983484,C1942,DOM1,C1942$,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,4110242,C1366,DOM1,C1366$,DOM1,C1366,C612,Kerberos,Network,LogOn,"Success
"
0,4668025,U63,DOM1,U63,DOM1,C1755,C1755,Kerberos,Network,LogOn,"Success
"
0,1178982,C10798,DOM1,C10798$,DOM1,C10798,C2855,Kerberos,Network,LogOn,"Success
"
0,2051893,C13916,DOM1,C13916$,DOM1,C13916,C13916,?,?,TGS,"Success
"
0,3690055,C1302,DOM1,C1302$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,3193393,C2769,DOM1,C2769$,DOM1,C2769,C6167,Kerberos,Network,LogOn,"Fail
"
0,2218044,C12283,DOM1,C12283$,DOM1,C12283,C2106,Kerberos,Network,LogOn,"Success
"
0,2459449,ANONYMOUS LOGON,C586,ANONYMOUS LOGON,C586,C6261,C586,NTLM,Network,LogOn,"Success
"
0,3831770,C480,DOM1,C480$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,661024,C10819,DOM1,C10819$,DOM1,C10819,C529,Kerberos,Network,LogOn,"Success
"
0,2207808,U66,DOM1,U66,DOM1,C1823,C1732,Kerberos,Network,LogOn,"Success
"
0,3129288,C21176,DOM1,C21176$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,1749262,C743,DOM1,C743$,DOM1,C743,C586,Kerberos,Network,LogOn,"Success
"
0,367018,C13211,DOM1,C13211$,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,4421714,NETWORK SERVICE,C15216,NETWORK SERVICE,C15216,C15216,C15216,Negotiate,Service,LogOn,"Success
"
0,866112,U292,DOM1,U292,DOM1,C527,C527,?,?,TGT,"Success
"
0,357444,C2411,DOM1,C2411$,DOM1,C2412,C457,Kerberos,Network,LogOn,"Success
"
0,4562654,C3122,DOM1,C3122$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,3037322,C1100,DOM1,C1100$,DOM1,C1100,C586,Kerberos,Network,LogOn,"Success
"
0,4007448,C506,DOM1,C506$,DOM1,C506,C529,Kerberos,Network,LogOn,"Success
"
0,4087016,U74,DOM1,U74,DOM1,C1691,C1691,?,Network,LogOff,"Success
"
0,417093,U1198,DOM1,U1198,DOM1,C13191,C2327,?,?,TGS,"Success
"
0,3621952,U213,DOM1,U213,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,4948382,C14177,DOM1,C14177$,DOM1,C14177,C612,?,?,TGS,"Success
"
0,4283477,NETWORK SERVICE,C19160,NETWORK SERVICE,C19160,C19160,C19160,Negotiate,Service,LogOn,"Success
"
0,3506266,C1966,DOM1,C1966$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,4388508,C15809,DOM1,C15809$,DOM1,C15809,C528,Kerberos,Network,LogOn,"Success
"
0,2776860,C2300,DOM1,C2300$,DOM1,C2162,C2162,?,Network,LogOff,"Success
"
0,1033702,C9136,DOM1,C9136$,DOM1,C9136,C9136,?,Network,LogOff,"Success
"
0,4143842,C529,DOM1,C529$,DOM1,C529,C529,Kerberos,Network,LogOn,"Success
"
0,173158,LOCAL SERVICE,C3377,LOCAL SERVICE,C3377,C3377,C3377,Negotiate,Service,LogOn,"Success
"
0,181390,C625,DOM1,C625$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,1071967,C1999,DOM1,C1999$,DOM1,C1999,C1999,?,?,TGT,"Success
"
0,3287909,NETWORK SERVICE,C4394,NETWORK SERVICE,C4394,C4394,C4394,Negotiate,Service,LogOn,"Success
"
0,2554849,U2917,DOM1,U2917,DOM1,C7577,C801,?,?,TGS,"Success
"
0,2628591,U4287,DOM1,U4287,DOM1,C801,C801,?,Network,LogOff,"Success
"
0,3121803,U4218,DOM1,U4218,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,4766931,C8439,DOM1,C8439$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,1558107,U2440,DOM1,U2440,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,2199007,U7912,DOM1,U7912,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,4533729,NETWORK SERVICE,C5420,NETWORK SERVICE,C5420,C5420,C5420,Negotiate,Service,LogOn,"Success
"
0,1667196,C10216,DOM1,C10216$,DOM1,C10216,C625,Kerberos,Network,LogOn,"Success
"
0,3313574,C16366,DOM1,C16366$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,4857942,C585,DOM1,C585$,DOM1,C585,C586,Kerberos,Network,LogOn,"Success
"
0,3204987,C585,DOM1,C585$,DOM1,C585,C586,Kerberos,Network,LogOn,"Success
"
0,4242019,C4382,DOM1,C4382$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,4268838,U66,DOM1,U66,DOM1,C1755,C1755,Kerberos,Network,LogOn,"Success
"
0,1151307,C15091,DOM1,C15091$,DOM1,C706,C706,?,Network,LogOff,"Success
"
0,2488373,ANONYMOUS LOGON,C586,ANONYMOUS LOGON,C586,C1422,C586,NTLM,Network,LogOn,"Success
"
0,646525,C2491,DOM1,C2491$,DOM1,C2492,C2492,?,?,TGT,"Success
"
0,4711377,U9557,DOM1,U9557,DOM1,C20155,C457,Kerberos,Network,LogOn,"Success
"
0,506562,C1794,DOM1,C1794$,DOM1,C1795,C553,Kerberos,Network,LogOn,"Success
"
0,1640813,C1155,DOM1,C1155$,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,4358757,U8720,DOM1,U8720,DOM1,C17475,C457,?,?,TGS,"Success
"
0,2835877,C599,DOM1,C599$,DOM1,C1619,C553,Kerberos,Network,LogOn,"Success
"
0,1398215,U150,DOM1,U150,DOM1,C4269,C625,Kerberos,Network,LogOn,"Success
"
0,1343293,U2651,DOM1,U2651,DOM1,C2162,C2162,?,Network,LogOff,"Success
"
0,111337,C11736,DOM1,C11736$,DOM1,C11736,C586,Kerberos,Network,LogOn,"Success
"
0,4551896,U4178,DOM1,U4178,DOM1,C5618,C5618,?,Network,LogOff,"Success
"
0,3077276,U50,DOM1,U50,DOM1,C1439,TGT,?,?,TGS,"Success
"
0,2623090,U7,DOM1,U7,DOM1,C1183,C606,Kerberos,Network,LogOn,"Success
"
0,2955983,U1122,DOM1,U1122,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,2632785,U8086,DOM1,U8086,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,4279251,U3261,DOM1,U3261,DOM1,C10781,C10781,NTLM,Network,LogOn,"Success
"
0,3737966,C23658,DOM1,C23658$,DOM1,C23657,C457,Kerberos,Network,LogOn,"Success
"
0,1490688,C10499,DOM1,C10499$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,3409373,U881,DOM1,U881,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,292225,C10357,DOM1,C10357$,DOM1,C10357,C10357,?,?,TGT,"Success
"
0,396914,C3493,DOM1,C3493$,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,552049,C3554,DOM1,C3554$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,3424089,U945,DOM1,U945,DOM1,C2162,C2162,?,Network,LogOff,"Success
"
0,2878726,C9516,DOM1,C9516$,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,4972399,C24020,DOM1,C24020$,DOM1,C24020,C625,Kerberos,Network,LogOn,"Success
"
0,3598070,U7172,DOM1,U7172,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,4712177,C22974,DOM1,C22974$,DOM1,C22974,C1025,Kerberos,Network,LogOn,"Success
"
0,770233,C1771,DOM1,C1771$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,4549793,C1688,DOM1,C1688$,DOM1,C1689,C1065,Kerberos,Network,LogOn,"Success
"
0,4660185,NETWORK SERVICE,C8416,NETWORK SERVICE,C8416,C8416,C8416,Negotiate,Service,LogOn,"Success
"
0,2128733,C2722,DOM1,C2722$,DOM1,C2723,C586,Kerberos,Network,LogOn,"Success
"
0,3313772,NETWORK SERVICE,C17135,NETWORK SERVICE,C17135,C17135,C17135,Negotiate,Service,LogOn,"Success
"
0,3179963,C1998,DOM1,C1998$,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,3764006,C19314,DOM1,C19314$,DOM1,C19314,C467,Kerberos,Network,LogOn,"Success
"
0,2935958,C3955,DOM1,C3955$,DOM1,C3955,C467,Kerberos,Network,LogOn,"Success
"
0,4004370,C2786,DOM1,C2786$,DOM1,C2786,C457,Kerberos,Network,LogOn,"Success
"
0,1173256,C449,DOM1,C449$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,4773207,C18481,DOM1,C18481$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,2530298,C9208,DOM1,C9208$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,594229,C1509,DOM1,C1509$,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,4626536,C3666,DOM1,C3666$,DOM1,C3666,C467,?,?,TGS,"Success
"
0,1790048,U878,DOM1,U878,DOM1,C2162,C2162,?,Network,LogOff,"Success
"
0,1605925,U5862,DOM1,U5862,DOM1,C5875,C1065,?,?,TGS,"Success
"
0,4629123,NETWORK SERVICE,C10732,NETWORK SERVICE,C10732,C10732,C10732,Negotiate,Service,LogOn,"Success
"
0,3576293,C5347,DOM1,C5347$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,4620631,C4457,DOM1,C4457$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,4137344,C3988,DOM1,C3988$,DOM1,C3988,C3988,Kerberos,Network,LogOn,"Success
"
0,3406772,C409,DOM1,C409$,DOM1,C409,C2106,Kerberos,Network,LogOn,"Success
"
0,2555475,C17526,DOM1,C17526$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,4584315,U1055,DOM1,U1055,DOM1,C1015,C1015,?,Network,LogOff,"Success
"
0,560881,U5241,DOM1,U5241,DOM1,C12463,C1015,NTLM,Network,LogOn,"Success
"
0,4886479,C983,DOM1,C983$,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,1606038,C1559,DOM1,C1559$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,2601220,U779,DOM1,U779,DOM1,C854,C1065,?,?,TGS,"Success
"
0,4552725,U87,DOM1,U87,DOM1,C1772,C1772,?,Network,LogOff,"Success
"
0,4496126,C14496,DOM1,C14496$,DOM1,C25423,C1065,Kerberos,Network,LogOn,"Success
"
0,3611976,C2397,DOM1,C2397$,DOM1,C2398,C2398,?,?,TGT,"Success
"
0,646738,U7203,DOM1,U7203,DOM1,C13544,C625,Kerberos,Network,LogOn,"Success
"
0,355833,C5196,DOM1,C5196$,DOM1,C5196,C467,?,?,TGS,"Success
"
0,4851029,U9343,DOM1,U9343,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,3784849,C3354,DOM1,C3354$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,701849,C19286,DOM1,C19286$,DOM1,C19286,C612,Kerberos,Network,LogOn,"Success
"
0,191758,C13537,DOM1,C13537$,DOM1,C13537,C528,Kerberos,Network,LogOn,"Success
"
0,4810312,U8939,DOM1,U8939,DOM1,C25116,C625,NTLM,Network,LogOn,"Success
"
